artifact_id,alias_name,canonical_name,sha256,size_bytes,extension,category,duplicate_content,privacy_class,status
ART-P011-0001,EESI_PILOT_001_v0.1.zip,EESI_PILOT_001_v0.1.zip,4f1fab38f03b69c17383a41ee54e782e9b2524d46464da80b7b53b7e1a9c4fe6,20382,.zip,clone_evolution_revenue,False,public,registered_build_input
ART-P011-0002,OMNI-PILOT-001_Evidence_Passport_Lab_v0.1.zip,OMNI-PILOT-001_Evidence_Passport_Lab_v0.1.zip,82d11cf9bb9623e96b5819588da79907038633ac0340ef18f41f7eee739ab231,17682,.zip,architecture_continuity,False,public,registered_build_input
ART-P011-0003,P011-BOLTE-001_GitHub_Ready_Package_v0.1.zip,P011-BOLTE-001_GitHub_Ready_Package_v0.1.zip,6d43743491052e17968e202b82c1ea26199a9003769eaae25c2974d63cfd1907,33033,.zip,architecture_continuity,False,public,registered_build_input
ART-P011-0004,P011-BRIDGE-001_GitHub_Ready_Package_v0.1.zip,P011-BRIDGE-001_GitHub_Ready_Package_v0.1.zip,5853c7bebcb90d1c201e0f954eb09e422a6eab91494f4bb7f4da0a56f06bfe0d,26437,.zip,architecture_continuity,False,public,registered_build_input
ART-P011-0005,P011-E6C-001_GitHub_Ready_Package.zip,P011-E6C-001_GitHub_Ready_Package_v0.2.zip,10d16a864ef07a5ce1b385adc740163373745692147820a031e01464bee0845f,106316,.zip,architecture_continuity,True,public,registered_build_input
ART-P011-0006,P011-E6C-001_GitHub_Ready_Package_v0.2.0.zip,P011-E6C-001_GitHub_Ready_Package_v0.2.0.zip,fcd1e2c4d79f69292e0df3951f504e4441f42d400ae5cf29bedd992534490bf5,97570,.zip,architecture_continuity,False,public,registered_build_input
ART-P011-0007,P011-E6C-001_GitHub_Ready_Package_v0.2.1.zip,P011-E6C-001_GitHub_Ready_Package_v0.2.1.zip,020561119e1833e012dce7fea041b818e089d6681004832904719ad48189bbf2,106316,.zip,architecture_continuity,False,public,registered_build_input
ART-P011-0005,P011-E6C-001_GitHub_Ready_Package_v0.2.zip,P011-E6C-001_GitHub_Ready_Package_v0.2.zip,10d16a864ef07a5ce1b385adc740163373745692147820a031e01464bee0845f,106316,.zip,architecture_continuity,False,public,registered_build_input
ART-P011-0008,P011-E6C-001_GitHub_Ready_Package_v0.3.zip,P011-E6C-001_GitHub_Ready_Package_v0.3.zip,9f9f9c860146a5259a97f589025acfc5defccba6b414c12b24584020b61dbd2f,126504,.zip,architecture_continuity,False,public,registered_build_input
ART-P011-0009,P011-E6C-001_GitHub_Ready_Package_v0.4.zip,P011-E6C-001_GitHub_Ready_Package_v0.4.zip,b0cf2615949741d6146d0ce28b1e0e5e3aa2d82c1a9843191fc47dc86ff1cf54,150300,.zip,architecture_continuity,False,public,registered_build_input
ART-P011-0010,P011-E6C-CHAR-001_Character_Continuum_Package_v0.2.zip,P011-E6C-CHAR-001_Character_Continuum_Package_v0.2.zip,13d138dfe3ea8074cebe7c54c8623946a985c7d49e87ffe56d2fedae158c2d45,37115,.zip,architecture_continuity,False,public,registered_build_input
ART-P011-0011,P011-E6C-CHAR-001_Character_Continuum_v0.2.0.zip,P011-E6C-CHAR-001_Character_Continuum_v0.2.0.zip,07b93f70fb4fba3459751d7412b8df31b16d88b5b46c896dd462592132f5eb28,43642,.zip,architecture_continuity,False,public,registered_build_input
ART-P011-0012,P011-E6C-EEBDS-001_GitHub_Ready_Package_v0.1.zip,P011-E6C-EEBDS-001_GitHub_Ready_Package_v0.1.zip,1e1c006170d98989502f63e62c950a53da2ab438d775399cab801da2f5469bfb,34071,.zip,architecture_continuity,False,public,registered_build_input
ART-P011-0013,P011-ECMM-001_DELIVERY_SHA256.txt,P011-ECMM-001_DELIVERY_SHA256.txt,645bb19bfbe4dcffa24b52086bb718513073fe5c11358796211f578bacfad892,217,.txt,clone_evolution_revenue,False,public,registered_build_input
ART-P011-0014,P011-ECMM-001_GitHub_Ready_Package_v0.1.zip,P011-ECMM-001_GitHub_Ready_Package_v0.1.zip,5a1cbb45ac8350068daff08e60978f696a136161071c88184f87d39224cf4e7e,62986,.zip,clone_evolution_revenue,False,public,registered_build_input
ART-P011-0015,P011-ECMM-001_Quality_Evidence_Packet.md,P011-ECMM-001_Quality_Evidence_Packet.md,c40b16d296e48895234f402ceb5fab55a6cf7bcaaed607a9bc83ae724a3b59d9,3115,.md,clone_evolution_revenue,False,public,registered_build_input
